@id,@lat,@lon,amenity,tourism,name,operator,opening_hours,cuisine,website,addr:housenumber,addr:street
643356949,39.7657707,-86.1579036,restaurant,,Hard Rock Cafe,,,american,,,
2876183191,39.7697479,-86.1582523,cafe,,Starbucks,,,coffee_shop,,,
3147765431,39.7701591,-86.1541599,restaurant,,India Garden Restaurant,,,indian,,209,North Delaware Street
3147804929,39.769981,-86.154176,restaurant,,Barcelona Tapas Restaurant,,,,,,
3172291061,39.773799,-86.155851,cafe,,City Cafe,,,american,,443,North Pennsylvania Street
3225275261,39.766873,-86.15759,restaurant,,Buffalo Wild Wings,,,wings,,,
3414436965,39.7732367,-86.1519002,cafe,,Starbucks,,,coffee_shop,,,
3414436966,39.7732884,-86.152097,restaurant,,Bru Burger Bar,,,burger,,,
3462341163,39.7717329,-86.1539807,restaurant,,The Eagle,,Su-Th 11:00-24:00; Fr-Sa 11:00-03:00,fried_chicken;southern,,310,Massachusetts Avenue
3462341164,39.771587,-86.1535566,restaurant,,Bazbeaux,,,pizza,,,
3472080203,39.7725686,-86.1594085,restaurant,,Acapulco Joe's,,,mexican,http://www.acapulco-joes.com/home,365,North Illinois Street
3473467924,39.7696105,-86.153605,restaurant,,Bangkok Restaurant & Jazz Bar,,,thai,,,
3481906393,39.76831,-86.157168,cafe,,Starbucks,,,coffee_shop,,,
3577634193,39.773132,-86.151402,ice_cream,,Sub Zero,,,,,427,Massachusetts Avenue
3577643493,39.773574,-86.151361,cafe,,Hoaglin To Go,,,,,448,Massachusetts Avenue
3600923162,39.7667991,-86.1593506,restaurant,,Champps,,,,,,
3605591495,39.766831,-86.156529,restaurant,,Morton's The Steakhouse,,,steak_house,,,
3613168293,39.773786,-86.150017,restaurant,,The Rathskeller,,,german,,,
3637475894,39.7683467,-86.1569218,restaurant,,Giorgio's Pizza,,,pizza,,,
3637477094,39.7683478,-86.1570357,restaurant,,Soupremacy,,,soup,,,
3637502093,39.7688,-86.156007,cafe,,Cups Coffee,,,,,,
3799605264,39.763802,-86.1598,cafe,,Starbucks,,,coffee_shop,,,
5218917822,39.7737015,-86.1503394,cafe,,Coat Check Coffee,,,,,401,East Michigan Street
6326693785,39.7661529,-86.1549683,restaurant,,Subito,,,,,44,
6479327186,39.7668318,-86.1556962,restaurant,,Fogo de Chao,,,,,,
